dft,model
-4.633698586,-4.643325806
-4.593864606,-4.593858242
-4.455246575,-4.461387634
-4.679860876,-4.678558826
-4.149175748,-4.150693893
-3.818060011,-3.823379517
-4.959946024,-4.972556591
-4.591391513,-4.589351177
-4.566638713,-4.577521324
-4.859755195,-4.860310078
-4.524742183,-4.524537563
-4.62956338,-4.628927708
-3.588009932,-3.592867851
-4.451551517,-4.451693058
-4.493228405,-4.500133038
-5.014477399,-5.019365788
-4.267689216,-4.264369488
-4.960828966,-4.962818146
-4.524597576,-4.525306702
-4.91451968,-4.911633492
-3.48706879,-3.487001896
-4.028913009,-4.027460098
-4.909868089,-4.907477856
-4.957948717,-4.95606184
-4.63703962,-4.646258354
-4.785258611,-4.783744335
-5.767161713,-5.758832455
-4.732463664,-4.739162445
-4.350225062,-4.347713947
-4.180921488,-4.177772045
-4.529869555,-4.541746616
-3.847365094,-3.852698565
-4.719105719,-4.719611645
-4.744058676,-4.741662502
-4.484682265,-4.478599072
-4.756558425,-4.757766247
-4.365006424,-4.366537571
-4.65985789,-4.663957119
-4.633322552,-4.629566193
-4.61011797,-4.608420372
-3.901317394,-3.903619051
-3.92402405,-3.928944111
-5.021947263,-5.025297642
-5.116130238,-5.110242367
-4.971299211,-4.972624302
-5.814309326,-5.817540646
-5.044714913,-5.047080517
-5.672531217,-5.68037653
-3.300947563,-3.300301552
-4.75544605,-4.756627083
-5.041584755,-5.029322147
-5.320331492,-5.318927765
-4.480276132,-4.484472275
-4.436848589,-4.443362713
-4.621420281,-4.624798298
-4.542155335,-4.546477318
-4.443530796,-4.443567753
-4.238385825,-4.24152422
-4.734026837,-4.733384609
-5.04383002,-5.042172909
-4.864535233,-4.87205267
-4.762193091,-4.772992611
-4.786083914,-4.786895752
-4.785581904,-4.785002232
-4.861599689,-4.869826794
-4.785888086,-4.786205292
-4.782125424,-4.779483795
-4.34190853,-4.343637466
-4.690262928,-4.678493023
-4.494461164,-4.50292635
-4.541874936,-4.542152405
-4.257763308,-4.260640621
-4.680596692,-4.681503773
-4.660221895,-4.666557312
-4.773600716,-4.762947559
-4.664311699,-4.666589737
-5.171058678,-5.172424793
-4.15438797,-4.15522337
-4.777461144,-4.776911259
-4.690175404,-4.691617966
-4.473805093,-4.48279953
-4.577653237,-4.577047825
-4.68490889,-4.679708958
-4.896265737,-4.895891666
-4.969989017,-4.978319645
-4.386120115,-4.389604568
-5.14532375,-5.144780636
-5.148158164,-5.148623466
-4.860312997,-4.866411686
-4.774704597,-4.774381161
-4.771945476,-4.770616055
-4.765118159,-4.762840748
-4.641181461,-4.637880802
-3.857216346,-3.860903502
-4.766246738,-4.76194191
-4.755444443,-4.760707378
-4.658333351,-4.664607048
-5.679095368,-5.679697514
-3.643412389,-3.64541769
-4.78508888,-4.784940243
-4.773404805,-4.774274349
-5.064051441,-5.059828281
-4.93107728,-4.933068752
-4.986751086,-4.989071369
-4.574783587,-4.588307858
-4.836927574,-4.846679211
-4.779292606,-4.779177189
-3.876994636,-3.871820688
-4.732348813,-4.733856678
-3.495921844,-3.495945454
-4.778345526,-4.779162884
-4.48075445,-4.478120327
-5.385492324,-5.387064457
-4.715638448,-4.718847752
-5.789659484,-5.788858414
-5.186517624,-5.208752155
-4.74583313,-4.746576786
-3.878164989,-3.882222652
-5.637605455,-5.63343668
-4.586473352,-4.594802856
-4.660374054,-4.66271925
-4.836428118,-4.832944393
-4.571942056,-4.576839924
-3.354194109,-3.352672338
-3.375850323,-3.377716541
-4.26361479,-4.266140461
-5.895040851,-5.890727043
-4.551329764,-4.578670979
-4.618716119,-4.623196125
-3.588887667,-3.596553326
-4.792626769,-4.800721645
-4.788029466,-4.786969662
-4.652690864,-4.649507999
-4.588056475,-4.598651409
-5.804431014,-5.803435802
-4.815544334,-4.818986893
-4.563027685,-4.569793224
-4.55852001,-4.572667599
-4.677676495,-4.67519474
-4.794428916,-4.793578625
-5.555779665,-5.552750111
-4.215821758,-4.212659359
-4.270318677,-4.270984173
-4.635512125,-4.632614136
-4.675434465,-4.681850433
-4.924633286,-4.91605854
-4.502163522,-4.508019924
-4.804179917,-4.813272953
-4.781596461,-4.78283453
-3.998239035,-3.998794079
-3.939665252,-3.945846558
-4.391579369,-4.387880325
