index,DFT,TinNet
613,-3.0365136,-3.0181742
364,-2.8936636,-2.9072068
80,-3.1432197,-3.1633005
167,-2.3978577,-2.3934937
30,-2.4142547,-2.4424233
743,-1.9509186,-1.9592687
35,-3.2295685,-3.1686175
556,-2.5598335,-2.5639524
611,-2.8500357,-2.817583
62,-2.1594205,-2.1960397
107,-1.9882166,-1.9871123
734,-1.9886665,-1.9740062
607,-2.5527196,-2.595266
443,-2.3186877,-2.363019
578,-2.2860346,-2.319005
407,-3.7072487,-3.630091
503,-4.0188136,-3.9834535
222,-3.6618845,-3.627827
526,-2.8238916,-2.7812576
654,-2.2439446,-2.227501
430,-2.5267427,-2.5574598
589,-2.4364777,-2.4838984
393,-1.9598606,-1.9615388
56,-2.2174246,-2.2322352
446,-1.7749577,-1.7805185
140,-2.3870037,-2.4463701
202,-2.7817786,-2.8181894
95,-1.5965546,-1.5981474
330,-2.2583597,-2.232025
388,-3.8939867,-3.82092
600,-2.6814055,-2.7023735
522,-1.9941626,-1.96647
434,-2.1399145,-2.112624
276,-2.4243906,-2.4232965
704,-3.9977937,-3.935674
230,-2.7627437,-2.793497
169,-2.9901936,-2.89963
260,-4.0377893,-4.0424137
416,-1.6936166,-1.7014046
6,-3.3641067,-3.2959561
327,-3.6553977,-3.6111748
64,-3.1374507,-3.046783
309,-1.9601357,-1.975097
580,-2.5449185,-2.574671
545,-2.3659136,-2.437748
713,-3.2430427,-3.2352755
715,-4.2106447,-4.1321125
531,-3.9079847,-3.8609805
313,-4.1196895,-4.00692
699,-1.8144526,-1.8282641
592,-2.5237317,-2.5118065
113,-2.6452627,-2.6021967
742,-1.8964226,-1.9304135
582,-1.9736557,-2.0241861
390,-1.9557207,-1.9590026
733,-4.1252584,-4.0677485
527,-1.6320926,-1.6374625
461,-1.8285276,-1.822308
205,-1.6963487,-1.6750069
165,-2.1657646,-2.1498523
574,-2.5534706,-2.492393
87,-4.3030024,-4.262693
159,-3.4152727,-3.4048347
681,-1.3923506,-1.4522493
302,-2.4334707,-2.4575074
306,-4.3154716,-4.192275
237,-1.5715586,-1.5788045
701,-2.2290225,-2.2490942
