idx,avg
536,-2.022949814
537,-2.010156163
538,-2.122192436
539,-2.178877808
540,-2.218222883
541,-2.511000888
542,-2.466782591
543,-2.266055854
544,-2.211331762
545,-2.259836658
546,-2.078572867
547,-2.021095522
548,-2.015661246
549,-2.22516253
550,-2.498998404
551,-2.316565637
552,-2.456609892
553,-2.477366209
554,-2.489165431
555,-2.493428572
556,-2.148785992
557,-2.124126853
558,-2.58325331
559,-2.528029062
560,-2.496329661
561,-2.430078576
562,-2.164846339
563,-2.114318876
564,-2.177230876
565,-2.268177335
566,-2.515460547
567,-2.466225758
568,-2.193444506
569,-2.457725339
570,-2.293848168
571,-2.078228141
572,-2.142623348
573,-2.401128871
574,-2.149064076
575,-2.451461695
576,-2.24947408
577,-2.464029519
578,-2.367194326
579,-2.136267194
580,-2.171583777
581,-2.229343279
582,-2.09610394
583,-2.573634952
584,-2.064052203
585,-2.244235268
586,-2.131940176
587,-2.210904381
588,-2.161327986
589,-2.526717302
590,-2.503883386
591,-2.591761393
592,-2.096583014
593,-2.182420039
594,-2.407170896
595,-2.188197873
596,-2.413265007
597,-2.092739748
598,-2.168710696
599,-2.533842167
600,-2.472279227
601,-2.072139004
602,-2.047001666
603,-2.145498321
604,-2.285114896
605,-2.298365433
606,-2.56601308
607,-2.486062139
608,-2.228024584
609,-2.468476714
610,-2.13185127
611,-2.448259745
612,-2.211383475
613,-2.49426051
614,-2.50733768
615,-2.528122438
616,-2.519545467
617,-2.2838155
618,-2.315611328
619,-2.19570379
620,-2.201257794
621,-2.516502068
622,-2.489060367
623,-2.247996901
624,-2.519782573
625,-2.497348473
626,-2.266365254
627,-2.443889196
628,-2.45695077
629,-2.57294098
630,-2.475846798
631,-2.500011162
632,-2.246892531
633,-2.476040499
634,-2.195253231
635,-2.035312985
636,-2.078619024
637,-2.164147349
638,-2.172405331
639,-2.158165695
640,-2.204621573
641,-2.233922011
642,-2.423908789
643,-2.140501094
644,-2.152564879
645,-2.458200062
646,-2.231704235
647,-2.461144725
648,-2.167457075
649,-2.472795728
650,-2.164354861
651,-2.478417662
652,-2.166081889
653,-2.145927129
654,-2.463284935
655,-2.18021519
656,-2.461197136
657,-2.101313519
658,-2.498460141
659,-2.45354336
660,-2.457484486
661,-2.076845857
662,-2.11162284
663,-2.483381207
664,-2.307227827
665,-2.165998062
666,-2.266717072
667,-2.08770353
668,-2.321555275
669,-2.143589051
670,-2.200907931
671,-2.031411216
672,-2.206242521
673,-2.517485648
674,-2.516007141
675,-2.524627145
676,-2.493861302
677,-2.177077339
678,-2.420051204
679,-2.420065277
680,-1.987937455
681,-2.071946553
682,-1.978077553
683,-2.15300013
684,-2.522845261
685,-2.366316973
686,-2.417598158
687,-2.481685423
688,-2.180935596
689,-2.134273435
690,-2.100264873
691,-2.41678157
692,-2.028727033
693,-2.132175247
694,-2.476023729
695,-2.272861709
696,-2.528296251
697,-2.219575869
698,-2.245534611
699,-2.537086708
700,-2.165503853
701,-2.213711178
702,-2.133785723
703,-2.160772856
704,-2.488054129
705,-2.22087321
706,-2.513578134
707,-2.492072189
708,-2.19130945
709,-2.452590397
710,-2.113239504
711,-2.44858567
712,-2.468838486
713,-2.260641401
714,-2.523095246
715,-2.344581766
716,-2.273147419
717,-2.112326559
718,-2.133878547
719,-2.191188387
720,-2.490264619
721,-2.554550614
722,-2.328005416
723,-2.144934475
724,-2.48159816
725,-2.146363017
726,-2.471464517
727,-2.460226353
728,-2.178700449
729,-2.577434314
730,-2.671562685
731,-2.493941481
732,-2.441718303
733,-2.123007358
734,-2.183301549
735,-2.20757733
